day	hour	value
1	1	13
1	2	6
1	3	5
1	4	3
1	5	2
1	6	3
1	7	1
1	8	0
1	9	0
1	10	3
1	11	3
1	12	3
1	13	3
1	14	4
1	15	2
1	16	8
1	17	12
1	18	11
1	19	11
1	20	8
1	21	10
1	22	10
1	23	3
1	24	13
2	1	3
2	2	8
2	3	2
2	4	3
2	5	0
2	6	0
2	7	2
2	8	2
2	9	1
2	10	1
2	11	1
2	12	3
2	13	5
2	14	5
2	15	3
2	16	12
2	17	9
2	18	10
2	19	6
2	20	5
2	21	10
2	22	15
2	23	4
2	24	5
3	1	4
3	2	8
3	3	5
3	4	4
3	5	2
3	6	2
3	7	2
3	8	1
3	9	2
3	10	1
3	11	5
3	12	2
3	13	4
3	14	5
3	15	6
3	16	5
3	17	4
3	18	4
3	19	11
3	20	9
3	21	8
3	22	11
3	23	9
3	24	4
4	1	11
4	2	9
4	3	6
4	4	1
4	5	3
4	6	3
4	7	2
4	8	0
4	9	1
4	10	3
4	11	3
4	12	5
4	13	5
4	14	10
4	15	6
4	16	4
4	17	8
4	18	8
4	19	10
4	20	6
4	21	18
4	22	8
4	23	14
4	24	11
5	1	17
5	2	14
5	3	4
5	4	3
5	5	3
5	6	4
5	7	2
5	8	2
5	9	4
5	10	0
5	11	5
5	12	4
5	13	3
5	14	9
5	15	5
5	16	12
5	17	7
5	18	13
5	19	16
5	20	15
5	21	22
5	22	26
5	23	12
5	24	16
6	1	26
6	2	47
6	3	17
6	4	13
6	5	12
6	6	5
6	7	6
6	8	3
6	9	2
6	10	6
6	11	4
6	12	4
6	13	6
6	14	2
6	15	13
6	16	11
6	17	20
6	18	15
6	19	16
6	20	20
6	21	16
6	22	30
6	23	23
6	24	27
7	1	23
7	2	18
7	3	17
7	4	15
7	5	11
7	6	9
7	7	1
7	8	4
7	9	1
7	10	1
7	11	6
7	12	5
7	13	9
7	14	4
7	15	8
7	16	7
7	17	15
7	18	13
7	19	11
7	20	16
7	21	17
7	22	13
7	23	9
7	24	31
