day	hour	value
1	1	19
1	2	10
1	3	17
1	4	14
1	5	20
1	6	27
1	7	21
1	8	20
1	9	18
1	10	25
1	11	24
1	12	23
1	13	22
1	14	27
1	15	27
1	16	32
1	17	51
1	18	39
1	19	42
1	20	30
1	21	27
1	22	27
1	23	15
1	24	24
2	1	12
2	2	16
2	3	10
2	4	14
2	5	21
2	6	31
2	7	25
2	8	17
2	9	14
2	10	14
2	11	16
2	12	29
2	13	32
2	14	24
2	15	30
2	16	33
2	17	39
2	18	42
2	19	32
2	20	26
2	21	35
2	22	36
2	23	27
2	24	18
3	1	10
3	2	23
3	3	14
3	4	13
3	5	22
3	6	30
3	7	22
3	8	21
3	9	15
3	10	15
3	11	25
3	12	22
3	13	27
3	14	30
3	15	28
3	16	27
3	17	38
3	18	36
3	19	42
3	20	41
3	21	27
3	22	27
3	23	26
3	24	18
4	1	17
4	2	18
4	3	11
4	4	14
4	5	32
4	6	20
4	7	29
4	8	15
4	9	22
4	10	19
4	11	21
4	12	25
4	13	23
4	14	34
4	15	31
4	16	26
4	17	40
4	18	31
4	19	38
4	20	37
4	21	40
4	22	31
4	23	27
4	24	23
5	1	26
5	2	29
5	3	16
5	4	12
5	5	25
5	6	30
5	7	27
5	8	18
5	9	23
5	10	27
5	11	31
5	12	37
5	13	19
5	14	32
5	15	31
5	16	44
5	17	41
5	18	49
5	19	44
5	20	57
5	21	55
5	22	47
5	23	38
5	24	25
6	1	43
6	2	70
6	3	34
6	4	27
6	5	30
6	6	20
6	7	28
6	8	21
6	9	22
6	10	30
6	11	32
6	12	38
6	13	36
6	14	31
6	15	38
6	16	39
6	17	54
6	18	48
6	19	52
6	20	44
6	21	37
6	22	60
6	23	45
6	24	51
7	1	42
7	2	38
7	3	24
7	4	30
7	5	23
7	6	21
7	7	14
7	8	20
7	9	19
7	10	17
7	11	33
7	12	28
7	13	30
7	14	26
7	15	35
7	16	25
7	17	49
7	18	44
7	19	36
7	20	42
7	21	39
7	22	26
7	23	24
7	24	50
