State,0,.01-.07,.08+,.15+
AL,543,48,260,175
AK,34,1,15,12
AZ,574,43,219,158
AR,324,34,123,89
CA,1963,158,867,583
CO,309,28,142,105
CT,145,17,114,74
DE,57,4,38,27
DC,13,0,6,4
FL,1607,115,676,480
GA,824,52,297,182
HI,57,12,33,21
ID,138,15,58,41
IL,601,67,322,227
IN,541,43,198,143
IA,204,10,103,75
KS,230,18,102,74
KY,444,26,167,113
LA,427,39,234,148
ME,91,12,42,25
MD,289,34,141,95
MA,179,24,118,67
MI,638,54,255,168
MN,272,20,95,74
MS,372,30,210,129
MO,468,39,248,169
MT,125,12,92,67
NE,136,10,60,44
NV,168,15,79,57
NH,83,7,46,34
NJ,358,38,146,93
NM,192,25,93,65
NY,756,78,364,235
NC,858,47,371,247
ND,73,12,62,54
OH,664,51,271,170
OK,472,37,170,123
OR,189,17,105,80
PA,774,64,368,258
RI,37,4,24,18
SC,379,49,335,225
SD,85,7,41,34
TN,666,51,277,190
TX,1829,213,1337,896
UT,175,6,38,25
VT,45,5,18,14
VA,435,48,254,177
WA,267,20,149,94
WV,220,21,91,62
WI,329,32,178,129
WY,58,4,25,18
