state,fullName,id,text,handheld,primeSeatBelt,minSuspension,ruralSpeed,Open Container Laws that meet federal requirements,Vehicle miles traveled,deaths,deaths100k,deaths100Mmi,deaths10Mmi,deaths100kAvg,deaths10MmiAvg
AL,Alabama,1,Yes,No,Front,90,70,Yes,"65,667.00",820,16.9,1.25,12.5,11.35882353,11.00392157
AK,Alaska,2,Yes,No,All,90,55,No,"4,857.00",73,9.9,1.5,15,11.35882353,11.00392157
AZ,Arizona,4,No,No,Secondary,90,75,Yes,"62,631.00",770,11.4,1.23,12.3,11.35882353,11.00392157
AR,Arkansas,5,Yes,No,Front,180,70,No,"34,024.00",466,15.7,1.37,13.7,11.35882353,11.00392157
CA,California,6,Yes,Yes,All,120,70,Yes,"332,857.00",3074,7.9,0.92,9.2,11.35882353,11.00392157
CO,Colorado,8,Yes,No,Secondary,90,75,Yes,"48,985.00",488,9.1,1,10,11.35882353,11.00392157
CT,Connecticut,9,Yes,Yes,Front,90,65,No,"31,190.00",248,6.9,0.8,8,11.35882353,11.00392157
DC,DC,11,Yes,Yes,All,2,55,Yes,"3,528.00",23,3.5,0.65,6.5,11.35882353,11.00392157
DE,Delaware,10,Yes,Yes,All,90,55,No,"9,596.00",121,12.9,1.26,12.6,11.35882353,11.00392157
FL,Florida,12,Yes,No,Front,180,70,Yes,"201,040.00",2494,12.5,1.24,12.4,11.35882353,11.00392157
GA,Georgia,13,Yes,No,Front,365,70,Yes,"111,535.00",1164,11.5,1.04,10.4,11.35882353,11.00392157
HI,Hawaii,15,Yes,Yes,All,90,60,Yes,"10,174.00",95,6.7,0.93,9.3,11.35882353,11.00392157
ID,Idaho,16,Yes,No,Secondary,90,75,Yes,"16,154.00",186,11.4,1.15,11.5,11.35882353,11.00392157
IL,Illinois,17,Yes,Yes,All,180,70,Yes,"104,906.00",924,7.2,0.88,8.8,11.35882353,11.00392157
IN,Indiana,18,Yes,No,All,180,70,Yes,"79,204.00",746,11.3,0.94,9.4,11.35882353,11.00392157
IA,Iowa,19,Yes,No,Front,180,70,Yes,"31,414.00",321,10.3,1.02,10.2,11.35882353,11.00392157
KS,Kansas,20,Yes,No,Front,30,75,Yes,"30,710.00",385,13.3,1.25,12.5,11.35882353,11.00392157
KY,Kentucky,21,Yes,No,All,30,65,Yes,"47,941.00",672,15.2,1.4,14,11.35882353,11.00392157
LA,Louisiana,22,Yes,No,All,0,75,No,"48,252.00",737,15.9,1.53,15.3,11.35882353,11.00392157
ME,Maine,23,Yes,No,All,90,75,Yes,"14,301.00",131,9.8,0.92,9.2,11.35882353,11.00392157
MD,Maryland,24,Yes,Yes,All,45,70,Yes,"56,432.00",442,7.4,0.78,7.8,11.35882353,11.00392157
MA,Massachusetts,25,Yes,No,Secondary,90,65,Yes,"57,552.00",328,4.9,0.57,5.7,11.35882353,11.00392157
MI,Michigan,26,Yes,No,Front,0,70,Yes,"97,384.00",901,9.1,0.93,9.3,11.35882353,11.00392157
MN,Minnesota,27,Yes,No,All,90,70,Yes,"57,395.00",361,6.6,0.63,6.3,11.35882353,11.00392157
MS,Mississippi,28,Yes,No,Front,90,70,No,"39,499.00",607,20.3,1.54,15.4,11.35882353,11.00392157
MO,Missouri,29,No,No,Secondary,90,70,No,"70,909.00",766,12.6,1.08,10.8,11.35882353,11.00392157
MT,Montana,30,No,No,Secondary,90,80,Yes,"12,157.00",192,18.8,1.58,15.8,11.35882353,11.00392157
NE,Nebraska,31,Yes,No,Secondary,180,75,Yes,"19,613.00",225,12,1.15,11.5,11.35882353,11.00392157
NV,Nevada,32,Yes,Yes,Secondary,90,80,Yes,"25,302.00",290,10.2,1.15,11.5,11.35882353,11.00392157
NH,New Hampshire,33,Yes,Yes,No,180,65,Yes,"12,970.00",95,7.2,0.73,7.3,11.35882353,11.00392157
NJ,New Jersey,34,Yes,Yes,All,90,65,Yes,"74,856.00",556,6.2,0.74,7.4,11.35882353,11.00392157
NM,New Mexico,35,Yes,No,All,180,75,Yes,"25,347.00",383,18.4,1.51,15.1,11.35882353,11.00392157
NY,New York,36,Yes,Yes,Front,180,65,Yes,"129,263.00",1039,5.3,0.8,8,11.35882353,11.00392157
NC,North Carolina,37,Yes,No,All,30,70,Yes,"108,012.00",1284,12.9,1.19,11.9,11.35882353,11.00392157
ND,North Dakota,38,Yes,No,Secondary,91,75,Yes,"10,511.00",135,18.3,1.28,12.8,11.35882353,11.00392157
OH,Ohio,39,Yes,No,Secondary,90,70,Yes,"112,766.00",1006,8.7,0.89,8.9,11.35882353,11.00392157
OK,Oklahoma,40,Yes,No,Front,180,75,Yes,"47,699.00",669,17.3,1.4,14,11.35882353,11.00392157
OR,Oregon,41,Yes,Yes,All,90,65,Yes,"34,610.00",357,9,1.03,10.3,11.35882353,11.00392157
