date,crash
Jan 2010, 2149
Feb 2010, 1861
Mar 2010, 2252
Apr 2010, 2600
May 2010, 2763
Jun 2010, 2640
Jul 2010, 2931
Aug 2010, 2892
Sep 2010, 2885
Oct 2010, 2891
Nov 2010, 2649
Dec 2010, 2493
Jan 2011, 2158
Feb 2011, 1933
Mar 2011, 2403
Apr 2011, 2669
May 2011, 2739
Jun 2011, 3019
Jul 2011, 2873
Aug 2011, 2776
Sep 2011, 2983
Oct 2011, 2585
Nov 2011, 2588
Jan 2012, 2283
Feb 2012, 2127
Mar 2012, 2487
Apr 2012, 2434
May 2012, 2672
Jun 2012, 2789
Jul 2012, 2833
Aug 2012, 2844
Sep 2012, 2735
Oct 2012, 2658
Nov 2012, 2602
Dec 2012, 2542
Jan 2013, 2230
Feb 2013, 1952
Mar 2013, 2356
Apr 2013, 2300
May 2013, 2532
Jun 2013, 2692
Jul 2013, 2660
Aug 2013, 2900
Sep 2013, 2741
Oct 2013, 2768
Nov 2013, 2615
Dec 2013, 2457
Jan 2014, 2162
Feb 2014, 1891
Mar 2014, 2240
Apr 2014, 2305
May 2014, 2591
Jun 2014, 2583
Jul 2014, 2691
Aug 2014, 2795
Sep 2014, 2614
Oct 2014, 2825
Nov 2014, 2702
Dec 2014, 2590
